hour_start,produccion_n_points,produccion_n_negative,produccion_delta,produccion_delta_first_half,produccion_delta_second_half,produccion_reset,produccion_n_noise_steps,produccion_std_step,produccion_max_step,retract_n_points,retract_n_negative,retract_delta,retract_delta_first_half,retract_delta_second_half,retract_reset,retract_n_noise_steps,retract_std_step,retract_max_step,blow_off_n_points,blow_off_n_negative,blow_off_delta,blow_off_delta_first_half,blow_off_delta_second_half,blow_off_reset,blow_off_n_noise_steps,blow_off_std_step,blow_off_max_step,cluster
2026-07-21 21:00:00-04:00,42,0,5979.0,1573.0,4266.0,0,0,18.060740928301875,194.0,42,0,6050.0,1629.0,4284.0,0,0,18.470871967595563,184.0,42,0,5994.0,1595.0,4268.0,0,0,19.29010805795465,198.0,6
2026-07-21 22:00:00-04:00,59,0,8388.0,4006.0,4231.0,0,1,2312.436862717488,197.0,59,0,8304.0,3986.0,4178.0,0,1,2317.4417045106,198.0,59,0,8450.0,4089.0,4203.0,0,1,2335.992839219983,203.0,2
2026-07-21 23:00:00-04:00,5,0,640.0,640.0,0.0,0,0,16.15549442140351,185.0,5,0,643.0,643.0,0.0,0,0,9.959292143521044,175.0,5,0,649.0,649.0,0.0,0,0,12.636751956100111,183.0,7
2026-07-22 00:00:00-04:00,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
2026-07-22 01:00:00-04:00,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
2026-07-22 02:00:00-04:00,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
2026-07-22 03:00:00-04:00,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
2026-07-22 04:00:00-04:00,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
2026-07-22 05:00:00-04:00,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
2026-07-22 06:00:00-04:00,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
